date,channel,format,pillar,impressions,clicks,spend,conversions
2026-06-10,Instagram,Carousel,Customer results,5081,192,22.25,8
2026-06-10,Email,Newsletter,Promotion,2213,170,0.00,18
2026-06-11,Email,Newsletter,Customer results,2554,252,0.00,35
2026-06-11,TikTok,Reel,Education,16660,261,13.22,4
2026-06-11,Email,Newsletter,Promotion,1710,157,0.00,15
2026-06-11,Facebook,Carousel,Founder story,5633,188,21.42,6
2026-06-12,Instagram,Static,Promotion,14439,304,46.64,4
2026-06-12,Facebook,Static,Promotion,17991,218,40.12,1
2026-06-12,TikTok,Reel,Ingredient proof,21890,327,17.07,6
2026-06-12,TikTok,Reel,Education,10239,139,5.95,2
2026-06-13,Email,Newsletter,Customer results,2261,194,0.00,26
2026-06-13,Instagram,Static,Promotion,9301,189,31.55,2
2026-06-14,Email,Newsletter,Promotion,2369,146,0.00,15
2026-06-14,Email,Newsletter,Customer results,1919,188,0.00,28
2026-06-15,TikTok,Reel,Education,17379,219,11.92,2
2026-06-15,Email,Newsletter,Promotion,2461,208,0.00,21
2026-06-15,Instagram,Story,Education,2661,60,6.07,1
2026-06-15,Instagram,Carousel,Customer results,6901,308,41.07,13
2026-06-16,Instagram,Carousel,Customer results,4707,210,22.87,10
2026-06-16,Instagram,Story,Education,4141,103,10.32,2
2026-06-16,Instagram,Reel,Ingredient proof,10934,570,54.82,34
2026-06-16,Instagram,Static,Promotion,10332,187,30.07,2
2026-06-17,Email,Newsletter,Promotion,2183,140,0.00,12
2026-06-17,Email,Newsletter,Customer results,2025,237,0.00,37
2026-06-17,TikTok,Reel,Ingredient proof,17644,236,12.20,4
2026-06-17,Facebook,Carousel,Founder story,6055,177,22.60,6
2026-06-18,Instagram,Carousel,Customer results,5901,198,23.14,8
2026-06-18,Email,Newsletter,Promotion,2228,175,0.00,16
2026-06-18,Instagram,Reel,Ingredient proof,6656,351,34.24,25
2026-06-18,TikTok,Reel,Education,9257,103,4.39,1
2026-06-19,Facebook,Carousel,Founder story,4816,152,19.24,5
2026-06-19,Instagram,Story,Education,4173,100,9.20,2
2026-06-19,Email,Newsletter,Customer results,1841,211,0.00,34
2026-06-19,Facebook,Static,Promotion,16465,240,46.17,2
2026-06-20,Instagram,Reel,Ingredient proof,7625,378,38.40,22
2026-06-20,Facebook,Static,Promotion,20377,226,45.25,2
2026-06-21,Email,Newsletter,Promotion,2857,176,0.00,18
2026-06-21,TikTok,Reel,Ingredient proof,28614,443,25.20,6
2026-06-22,Email,Newsletter,Customer results,2814,334,0.00,46
2026-06-22,TikTok,Reel,Education,12762,194,10.55,3
2026-06-22,Facebook,Carousel,Founder story,6759,246,31.77,10
2026-06-22,Instagram,Static,Promotion,13598,270,48.78,3
2026-06-23,Facebook,Static,Promotion,15944,228,37.58,2
2026-06-23,TikTok,Reel,Education,14659,210,12.04,3
2026-06-23,Instagram,Static,Promotion,14354,205,36.78,2
2026-06-23,Instagram,Story,Education,4358,110,9.64,3
2026-06-24,Instagram,Reel,Ingredient proof,7522,423,46.20,31
2026-06-24,Instagram,Static,Promotion,11734,172,23.67,2
2026-06-24,Email,Newsletter,Customer results,2188,268,0.00,32
2026-06-24,Instagram,Story,Education,3461,99,8.50,2
2026-06-25,Instagram,Reel,Ingredient proof,10160,482,48.78,27
2026-06-25,Email,Newsletter,Promotion,2042,160,0.00,12
2026-06-25,Instagram,Static,Promotion,14512,248,34.95,3
2026-06-25,Email,Newsletter,Customer results,2501,217,0.00,30
2026-06-26,Instagram,Static,Promotion,15484,268,43.20,2
2026-06-26,TikTok,Reel,Education,11531,159,8.41,2
2026-06-26,TikTok,Reel,Ingredient proof,25110,441,21.76,10
2026-06-26,Email,Newsletter,Customer results,2622,278,0.00,34
2026-06-27,Instagram,Static,Promotion,15073,214,36.83,2
2026-06-27,Instagram,Carousel,Customer results,6479,250,30.85,11
2026-06-28,Facebook,Static,Promotion,17653,279,52.37,2
2026-06-28,Instagram,Carousel,Customer results,4043,160,16.91,8
2026-06-29,Instagram,Static,Promotion,14546,316,56.00,5
2026-06-29,Instagram,Story,Education,3795,113,11.45,3
2026-06-29,TikTok,Reel,Ingredient proof,21143,328,18.76,7
2026-06-29,Email,Newsletter,Customer results,2098,218,0.00,29
2026-06-30,Facebook,Carousel,Founder story,6993,262,37.24,12
2026-06-30,TikTok,Reel,Ingredient proof,20887,292,12.85,7
2026-06-30,Instagram,Story,Education,3569,87,8.37,2
2026-06-30,Instagram,Reel,Ingredient proof,7263,333,36.02,21
2026-07-01,Instagram,Story,Education,4112,105,10.07,3
2026-07-01,TikTok,Reel,Education,10000,119,6.67,2
2026-07-01,Instagram,Static,Promotion,14027,223,32.08,3
2026-07-01,Email,Newsletter,Customer results,1812,202,0.00,23
2026-07-02,Email,Newsletter,Customer results,2235,202,0.00,22
2026-07-02,Instagram,Reel,Ingredient proof,11955,700,83.16,44
2026-07-02,Facebook,Static,Promotion,21253,319,64.08,2
2026-07-02,Instagram,Story,Education,3600,81,6.46,2
2026-07-03,Instagram,Carousel,Customer results,4854,187,25.32,11
2026-07-03,Email,Newsletter,Promotion,2941,209,0.00,21
2026-07-03,Email,Newsletter,Customer results,2260,220,0.00,34
2026-07-03,Facebook,Carousel,Founder story,7290,282,34.96,11
2026-07-04,Facebook,Carousel,Founder story,7108,271,33.20,10
2026-07-04,Email,Newsletter,Customer results,1918,208,0.00,32
2026-07-05,Facebook,Carousel,Founder story,7797,275,35.04,11
2026-07-05,TikTok,Reel,Education,18462,283,14.75,5
2026-07-06,Instagram,Reel,Ingredient proof,11934,679,75.27,37
2026-07-06,Facebook,Static,Promotion,18771,220,43.88,2
2026-07-06,TikTok,Reel,Education,14216,196,10.55,2
2026-07-06,Email,Newsletter,Customer results,2178,239,0.00,36
2026-07-07,Facebook,Static,Promotion,19964,284,51.40,3
2026-07-07,Instagram,Story,Education,3026,93,9.54,2
2026-07-07,Email,Newsletter,Customer results,2105,226,0.00,35
2026-07-07,Facebook,Carousel,Founder story,6231,220,25.46,7
2026-07-08,Facebook,Carousel,Founder story,7947,268,30.22,8
2026-07-08,Email,Newsletter,Customer results,2145,196,0.00,27
2026-07-08,Email,Newsletter,Promotion,2820,259,0.00,23
2026-07-08,Instagram,Carousel,Customer results,4648,206,26.98,9
2026-07-09,Instagram,Carousel,Customer results,6372,206,24.67,9
2026-07-09,Instagram,Static,Promotion,9520,156,27.86,2
2026-07-09,TikTok,Reel,Education,14015,185,9.61,2
2026-07-09,Facebook,Carousel,Founder story,6114,201,25.96,8
2026-07-10,Email,Newsletter,Customer results,2120,210,0.00,26
2026-07-10,Email,Newsletter,Promotion,2604,176,0.00,14
2026-07-10,Instagram,Story,Education,3802,103,8.82,2
2026-07-10,Facebook,Carousel,Founder story,5199,195,26.34,9
2026-07-11,Facebook,Static,Promotion,13431,200,31.02,2
2026-07-11,Email,Newsletter,Promotion,2897,213,0.00,16
2026-07-12,TikTok,Reel,Ingredient proof,29441,379,19.74,7
2026-07-12,Instagram,Reel,Ingredient proof,9564,540,63.78,43
2026-07-13,Instagram,Reel,Ingredient proof,11224,540,56.09,36
2026-07-13,Facebook,Static,Promotion,14882,193,38.76,2
2026-07-13,Email,Newsletter,Customer results,2316,203,0.00,24
2026-07-13,TikTok,Reel,Education,16935,207,10.88,4
2026-07-14,TikTok,Reel,Ingredient proof,28048,515,28.87,12
2026-07-14,TikTok,Reel,Education,10177,120,6.52,1
2026-07-14,Email,Newsletter,Promotion,3070,188,0.00,19
2026-07-14,Instagram,Carousel,Customer results,6936,267,36.10,13
2026-07-15,Email,Newsletter,Customer results,2408,228,0.00,28
2026-07-15,TikTok,Reel,Ingredient proof,25776,393,18.50,8
2026-07-15,Instagram,Static,Promotion,11650,186,34.19,2
2026-07-15,Facebook,Carousel,Founder story,5619,210,23.65,7
2026-07-16,Facebook,Static,Promotion,16492,208,39.42,1
2026-07-16,Instagram,Story,Education,3508,106,9.95,2
2026-07-16,Facebook,Carousel,Founder story,5852,174,21.83,7
2026-07-16,TikTok,Reel,Education,19208,240,13.18,3
2026-07-17,Facebook,Static,Promotion,18378,260,40.90,3
2026-07-17,TikTok,Reel,Ingredient proof,27313,429,22.74,10
2026-07-17,Instagram,Story,Education,4570,103,9.62,2
2026-07-17,Instagram,Static,Promotion,18691,307,56.11,3
2026-07-18,TikTok,Reel,Education,19949,296,15.33,5
2026-07-18,TikTok,Reel,Ingredient proof,26344,365,20.29,6
2026-07-19,TikTok,Reel,Education,15303,205,9.76,3
2026-07-19,Instagram,Static,Promotion,15040,235,36.28,3
2026-07-20,Email,Newsletter,Customer results,2323,206,0.00,27
2026-07-20,Instagram,Carousel,Customer results,6501,250,34.23,10
2026-07-20,Facebook,Static,Promotion,13506,241,49.51,2
2026-07-20,Instagram,Story,Education,3121,97,9.74,2
2026-07-21,TikTok,Reel,Education,9567,134,6.86,2
2026-07-21,Facebook,Static,Promotion,19682,330,59.72,2
2026-07-21,Instagram,Reel,Ingredient proof,7866,469,56.37,36
2026-07-21,Facebook,Carousel,Founder story,4670,132,16.55,5
2026-07-22,Instagram,Reel,Ingredient proof,8433,473,51.60,32
2026-07-22,Instagram,Static,Promotion,12827,221,37.66,3
2026-07-22,Facebook,Static,Promotion,17850,238,48.04,2
2026-07-22,Email,Newsletter,Customer results,2591,224,0.00,26
2026-07-23,TikTok,Reel,Ingredient proof,19606,288,16.31,7
2026-07-23,Instagram,Story,Education,3931,94,9.00,2
2026-07-23,Instagram,Carousel,Customer results,6596,216,27.13,13
2026-07-23,Instagram,Reel,Ingredient proof,9589,500,60.51,28
2026-07-24,Facebook,Static,Promotion,20478,319,59.10,2
2026-07-24,Email,Newsletter,Customer results,2029,215,0.00,35
2026-07-24,Instagram,Story,Education,4602,117,9.81,3
2026-07-24,Instagram,Static,Promotion,15802,240,37.49,3
2026-07-25,Instagram,Reel,Ingredient proof,9205,457,54.24,29
2026-07-25,TikTok,Reel,Ingredient proof,25363,420,19.32,6
2026-07-26,Instagram,Story,Education,3218,98,9.06,2
2026-07-26,Email,Newsletter,Customer results,2748,341,0.00,41
2026-07-27,TikTok,Reel,Ingredient proof,29628,441,19.31,6
2026-07-27,Email,Newsletter,Promotion,2510,156,0.00,15
2026-07-27,Facebook,Static,Promotion,21134,254,52.21,2
2026-07-27,Email,Newsletter,Customer results,2392,228,0.00,26
2026-07-28,TikTok,Reel,Education,12234,126,5.97,2
2026-07-28,Instagram,Static,Promotion,13420,278,48.79,3
2026-07-28,Email,Newsletter,Promotion,2440,147,0.00,16
2026-07-28,Facebook,Carousel,Founder story,9145,278,40.06,9
2026-07-29,TikTok,Reel,Education,10999,155,7.27,3
2026-07-29,Email,Newsletter,Promotion,2359,189,0.00,18
2026-07-29,Facebook,Carousel,Founder story,6914,269,37.39,12
2026-07-29,Instagram,Carousel,Customer results,5366,208,21.73,11
2026-07-30,Email,Newsletter,Customer results,2852,305,0.00,41
2026-07-30,Instagram,Carousel,Customer results,5142,191,22.23,10
2026-07-30,Instagram,Static,Promotion,11044,194,35.53,3
2026-07-30,Email,Newsletter,Promotion,2815,175,0.00,18
2026-07-31,Instagram,Story,Education,4544,102,9.04,3
2026-07-31,Instagram,Carousel,Customer results,6763,218,24.06,11
2026-07-31,Instagram,Reel,Ingredient proof,12549,623,72.50,43
2026-07-31,TikTok,Reel,Education,18132,277,15.66,5
2026-08-01,Instagram,Story,Education,2946,64,5.05,1
2026-08-01,Instagram,Static,Promotion,16264,285,45.21,4
2026-08-02,Facebook,Static,Promotion,14844,247,42.13,2
2026-08-02,Email,Newsletter,Promotion,2683,224,0.00,23
2026-08-03,Instagram,Carousel,Customer results,6057,264,29.20,15
2026-08-03,TikTok,Reel,Education,16531,203,8.68,3
2026-08-03,Facebook,Carousel,Founder story,6931,210,28.98,7
2026-08-03,Instagram,Story,Education,4874,107,8.93,2
2026-08-04,Instagram,Reel,Ingredient proof,11869,585,58.95,38
2026-08-04,TikTok,Reel,Education,20288,232,12.70,4
2026-08-04,Instagram,Static,Promotion,14420,263,39.37,3
2026-08-04,Facebook,Carousel,Founder story,7601,296,39.64,12
2026-08-05,Instagram,Static,Promotion,15850,285,40.09,4
2026-08-05,Email,Newsletter,Customer results,3143,335,0.00,44
2026-08-05,Email,Newsletter,Promotion,2330,155,0.00,11
2026-08-05,TikTok,Reel,Ingredient proof,19739,298,16.79,5
2026-08-06,Instagram,Reel,Ingredient proof,10753,578,60.73,43
2026-08-06,Email,Newsletter,Promotion,3188,204,0.00,21
2026-08-06,TikTok,Reel,Ingredient proof,22497,336,17.63,7
2026-08-06,Facebook,Carousel,Founder story,6538,205,24.84,6
2026-08-07,Facebook,Carousel,Founder story,8156,278,41.29,12
2026-08-07,Instagram,Static,Promotion,15417,266,39.84,2
2026-08-07,Email,Newsletter,Customer results,2515,256,0.00,41
2026-08-07,Instagram,Story,Education,3785,117,10.96,3
2026-08-08,Instagram,Static,Promotion,19061,308,43.96,3
2026-08-08,Email,Newsletter,Customer results,2553,238,0.00,39
2026-08-09,Facebook,Carousel,Founder story,5810,195,25.75,8
2026-08-09,Instagram,Story,Education,3366,82,6.40,2
2026-08-10,Email,Newsletter,Customer results,2303,264,0.00,32
2026-08-10,Instagram,Static,Promotion,13305,197,35.30,3
2026-08-10,TikTok,Reel,Ingredient proof,24457,455,21.14,9
2026-08-10,TikTok,Reel,Education,21553,296,13.90,4
2026-08-11,TikTok,Reel,Ingredient proof,24021,421,22.26,7
2026-08-11,Instagram,Static,Promotion,11673,236,42.87,2
2026-08-11,Instagram,Carousel,Customer results,5599,185,21.37,9
2026-08-11,TikTok,Reel,Education,17465,245,10.43,3
2026-08-12,TikTok,Reel,Education,22314,278,12.89,3
2026-08-12,Instagram,Reel,Ingredient proof,10775,511,58.84,34
2026-08-12,Email,Newsletter,Promotion,2802,240,0.00,24
2026-08-12,Email,Newsletter,Customer results,2635,226,0.00,30
2026-08-13,Instagram,Static,Promotion,16039,281,44.96,3
2026-08-13,Instagram,Carousel,Customer results,6314,246,26.81,14
2026-08-13,TikTok,Reel,Education,17429,177,9.68,3
2026-08-13,Facebook,Carousel,Founder story,6929,210,23.28,10
2026-08-14,Instagram,Carousel,Customer results,6223,206,23.62,11
2026-08-14,Instagram,Reel,Ingredient proof,8693,431,52.13,30
2026-08-14,Email,Newsletter,Promotion,2851,238,0.00,20
2026-08-14,TikTok,Reel,Education,17100,226,10.97,3
2026-08-15,Email,Newsletter,Customer results,2296,243,0.00,30
2026-08-15,Facebook,Carousel,Founder story,6773,251,34.06,10
2026-08-16,TikTok,Reel,Education,19517,209,10.12,3
2026-08-16,Instagram,Reel,Ingredient proof,11987,695,80.66,49
2026-08-17,Instagram,Static,Promotion,13429,208,37.50,2
2026-08-17,Instagram,Story,Education,3303,83,7.96,2
2026-08-17,Facebook,Static,Promotion,18724,280,46.20,2
2026-08-17,Facebook,Carousel,Founder story,6665,207,25.28,6
2026-08-18,TikTok,Reel,Ingredient proof,21873,338,17.19,8
2026-08-18,Facebook,Static,Promotion,21223,301,50.36,3
2026-08-18,Instagram,Story,Education,3735,101,9.65,3
2026-08-18,Facebook,Carousel,Founder story,7082,230,27.00,8
2026-08-19,Facebook,Carousel,Founder story,5923,208,27.83,9
2026-08-19,TikTok,Reel,Ingredient proof,22271,330,15.62,7
2026-08-19,Facebook,Static,Promotion,17084,283,56.79,3
2026-08-19,TikTok,Reel,Education,11270,121,5.58,1
2026-08-20,Instagram,Story,Education,4077,89,9.05,2
2026-08-20,Instagram,Reel,Ingredient proof,11370,695,66.03,42
2026-08-20,Email,Newsletter,Customer results,3268,346,0.00,51
2026-08-20,Instagram,Static,Promotion,16439,278,43.86,3
2026-08-21,Email,Newsletter,Customer results,2440,245,0.00,28
2026-08-21,Facebook,Carousel,Founder story,6878,193,22.95,9
2026-08-21,Facebook,Static,Promotion,18146,233,44.28,3
2026-08-21,Instagram,Story,Education,3349,98,8.09,2
2026-08-22,Email,Newsletter,Promotion,2822,201,0.00,15
2026-08-22,Facebook,Static,Promotion,14546,175,35.80,1
2026-08-23,Instagram,Story,Education,4136,92,8.12,2
2026-08-23,Facebook,Carousel,Founder story,6954,269,33.88,13
2026-08-24,Facebook,Static,Promotion,15004,211,41.01,1
2026-08-24,Email,Newsletter,Promotion,2651,200,0.00,15
2026-08-24,Instagram,Carousel,Customer results,6005,230,30.84,12
2026-08-24,Email,Newsletter,Customer results,2894,299,0.00,38
2026-08-25,TikTok,Reel,Education,12582,176,8.82,3
2026-08-25,Facebook,Static,Promotion,23106,302,56.35,4
2026-08-25,Email,Newsletter,Promotion,2539,227,0.00,22
2026-08-25,Facebook,Carousel,Founder story,6077,206,26.08,8
2026-08-26,TikTok,Reel,Education,18003,222,11.49,4
2026-08-26,Instagram,Static,Promotion,15439,245,37.80,3
2026-08-26,Instagram,Reel,Ingredient proof,7711,450,56.52,35
2026-08-26,Facebook,Static,Promotion,25067,306,54.60,2
2026-08-27,Instagram,Static,Promotion,20650,441,69.12,4
2026-08-27,TikTok,Reel,Ingredient proof,27033,326,14.94,8
2026-08-27,Instagram,Story,Education,4178,128,12.59,2
2026-08-27,TikTok,Reel,Education,15381,216,9.21,3
2026-08-28,Instagram,Story,Education,4198,125,11.30,2
2026-08-28,Instagram,Reel,Ingredient proof,10436,581,65.62,32
2026-08-28,Email,Newsletter,Customer results,2288,219,0.00,26
2026-08-28,Facebook,Carousel,Founder story,6462,225,31.70,7
2026-08-29,TikTok,Reel,Ingredient proof,19205,328,16.43,6
2026-08-29,Email,Newsletter,Promotion,2512,187,0.00,16
2026-08-30,Email,Newsletter,Promotion,2834,172,0.00,17
2026-08-30,Facebook,Carousel,Founder story,5900,203,29.08,9
